"Date","Title","Description","Hashtags","Live Link","Repo Link"
"2026-09-02","FlowDesk - Freelance Operations Platform","Shipped FlowDesk - a freelance operations SPA: Kanban projects, client management, invoices and hand-rolled SVG charts. Zero frameworks, pure HTML/CSS/JS, live on GitHub Pages.","#webdevelopment #webdesign #frontenddeveloper #javascript #uiux #uidesign #saas #dashboard #buildinpublic #coding #html #css #webdev #developer","https://ishtiaq5.github.io/flowdesk/","https://github.com/Ishtiaq5/flowdesk"
"2026-09-03","Aurora - AI SaaS Landing Page","Just shipped Aurora - a high-converting AI SaaS landing page with dark glassmorphism, animated gradient orbs and scroll-triggered reveals. Zero frameworks, pure HTML/CSS/JS.","#webdevelopment #webdesign #frontenddeveloper #javascript #uiux #uidesign #saas #landingpage #buildinpublic #coding #html #css #webdev #developer","https://ishtiaq5.github.io/aurora-landing/","https://github.com/Ishtiaq5/aurora-landing"
"2026-09-05","Pulse - Pomodoro Focus Timer","Shipped Pulse - a premium dark-mode pomodoro timer with a glowing gradient progress ring, automatic break cues and session streak tracking. Zero frameworks, pure HTML/CSS/JS.","#pomodoro #productivity #webdevelopment #frontenddeveloper #javascript #uiux #uidesign #timerapp #buildinpublic #coding #html #css #webdev #developer","https://ishtiaq5.github.io/pulse-pomodoro/","https://github.com/Ishtiaq5/pulse-pomodoro"
"2026-09-07","Coinly - a personal expense tracker that makes your money make sense","Coinly is a personal expense tracker that turns raw spending into instant insight with an animated donut chart, glowing category bars and live monthly trends. Users log expenses in seconds, track budgets by category, and export everything to CSV. Built with React, TypeScript and Tailwind CSS.","#WebDevelopment #JavaScript #React #FinanceApp #Fintech #UIDesign #FrontendDevelopment #DataVisualization #CodingLife #BuildInPublic #Programming #CodingCommunity #TechForDevs #WebApp","(idea - not built yet)","-"
"2026-09-10","Tierly - Premium Pricing Page","A dark premium pricing page with three glassmorphism plan cards and an animated monthly/yearly billing toggle that re-prices every plan in real time. Gradient headline, aurora glow and a save-20% pill make the upgrade feel irresistible. Built with pure HTML, CSS and JavaScript - no frameworks.","#JavaScript #WebDevelopment #FrontendDevelopment #CSS #UIDesign #PricingPage #WebDesign #LandingPage #BuildInPublic #Programming #CodingCommunity #HTML #DarkUI #TechForDevs","https://ishtiaq5.github.io/tierly-pricing/","https://github.com/Ishtiaq5/tierly-pricing"
"2026-09-16","Applywise - Job Application Tracker","A kanban job application tracker built with vanilla JavaScript. Drag roles from Applied to Interview to Offer, log every follow-up, and see your response rate at a glance. All data persists locally in the browser.","#WebDevelopment #JavaScript #JobSearch #CareerDevelopment #FrontendDevelopment #Productivity #KanbanBoard #JobTracker #HTML #CSS #BuildInPublic #UIDesign #TechJobs #RemoteWork","(idea - not built yet)","-"
"2026-09-16","Divvy - Trip Expense Splitter","A trip expense splitter built with vanilla JavaScript. Add travellers, log what each person paid, and it calculates the fewest transfers needed to settle everyone up. Data persists locally in the browser.","#WebDevelopment #JavaScript #TravelTech #ExpenseTracker #SplitBills #FrontendDevelopment #Productivity #FinTech #UIDesign #HTML #CSS #BuildInPublic #GroupTravel #CodingLife","(idea - not built yet)","-"
"2026-09-19","Spendly - Premium Expense & Budget Tracker","Spendly is a premium dark-mode expense tracker that makes budgeting feel calm instead of stressful. Log spending in two taps, watch your budget ring fill in real time, and see exactly which category is quietly eating your wallet. It runs entirely in the browser with zero backend, so your financial data never leaves your device.","#webdevelopment #javascript #html #css #frontend #uidesign #webdesign #buildinpublic #100daysofcode #coding #devcommunity #portfolio #personalfinance #budgeting","https://ishtiaq5.github.io/spendly/","https://github.com/Ishtiaq5/spendly"
"2026-09-21","Wanderly - Day-by-day travel itinerary planner with a live budget ring","Wanderly is a premium dark-mode travel itinerary planner built with vanilla HTML, CSS and JavaScript. Add stops to each day, watch a live budget ring react in real time, and stage curated destination picks into the plan. No frameworks, no backend, no build step.","#WebApp #TravelTech #TripPlanning #SaaS #JavaScript #FrontendDeveloper #UIDesign #BuildInPublic #100DaysOfCode #WebDevelopment #UIUX #ProductDesign #TravelPlanner #Dashboard","https://ishtiaq5.github.io/wanderly/","https://github.com/Ishtiaq5/wanderly"
"2026-09-24","Kanbanly - Premium Drag & Drop Task Board","Kanbanly is a premium dark glassmorphism kanban board that runs entirely in the browser. Drag tasks across Backlog, In Progress and Done columns while a live progress bar tracks your momentum. No account, no backend, and your board persists locally.","#Productivity #Kanban #TaskManagement #WebApp #JavaScript #FrontendDeveloper #CSS #BuildInPublic #100DaysOfCode #UIDesign #WebDevelopment #SaaS #OpenSource #DragAndDrop","https://ishtiaq5.github.io/kanbanly/","https://github.com/Ishtiaq5/kanbanly"
"2026-09-24","Formly - Premium Drag & Drop Form Builder","Formly is a premium dark-mode form builder that runs entirely in the browser. Drag fields onto a live canvas, publish a shareable hosted link, and watch responses land in an animated dashboard with response rates and CSV export. No frameworks, no backend, no build step.","#FormBuilder #WebApp #SaaS #JavaScript #FrontendDeveloper #BuildInPublic #100DaysOfCode #UIDesign #WebDevelopment #NoCode #Productivity #TypeScript #DragAndDrop #Startup","(idea - not built yet)","-"
"2026-09-24","Testimly - Collect Client Testimonials into a Wall of Love","Testimly is a dark-mode testimonial collector that turns happy clients into social proof. Send one link, collect ratings and short quotes, and render them into a beautiful embeddable Wall of Love. It runs fully in the browser with local storage and zero setup.","#Testimonials #SocialProof #WebApp #SaaS #JavaScript #FrontendDeveloper #BuildInPublic #100DaysOfCode #UIDesign #WebDevelopment #Marketing #LandingPage #CSS #Startup","(idea - not built yet)","-"
"2026-09-25","Estately - Premium Real Estate Listings","Estately is a clean real-estate listings app with instant filtering by city, budget and beds, sortable results, and a browser-saved shortlist. Built as a polished, agent-ready dark-mode front-end demo with glass cards and zero setup.","#RealEstate #WebDevelopment #JavaScript #FrontendDevelopment #UIDesign #WebDesign #HTML5 #CSS3 #BuildInPublic #100DaysOfCode #SaaS #Portfolio #UIUX","(idea - not built yet)","-"
"2026-09-25","Outfitly - Wardrobe & Outfit Planner","Outfitly is a stylish wardrobe and outfit planner that lets you catalog your clothes, build looks in seconds, and plan the week ahead. It filters instantly by category or season and saves everything locally in the browser with zero setup.","#FashionTech #WebDevelopment #JavaScript #FrontendDevelopment #UIDesign #WebDesign #Wardrobe #BuildInPublic #100DaysOfCode #HTML5 #CSS3 #SaaS #Portfolio #UIUX","(idea - not built yet)","-"
"2026-09-25","Ambiently - Premium Focus Sound Mixer","Ambiently is a premium browser-based focus sound mixer that blends six living ambiences - rain, ocean, fire, wind, night and cafe - into one seamless mix. Every sound is synthesised in real time with the Web Audio API, so there are no audio files or downloads. It pairs smooth volume faders and four one-tap presets with an animated equaliser inside a dark glassmorphism interface.","#AmbientSound #FocusMusic #WebAudio #JavaScript #WebApp #FrontendDevelopment #BuildInPublic #100DaysOfCode #UIDesign #Glassmorphism #Productivity #DeepWork #OpenSource #CreativeCoding","https://ishtiaq5.github.io/ambiently/","https://github.com/Ishtiaq5/ambiently"
